basin,country,year,Value
LCHA,NER,2005,2276.7564939255276
LCHA,NER,2010,2451.172088980523
LCHA,NER,2015,2752.5338259076275
LCHA,NER,2020,2748.9953716870386
LCHA,NER,2025,2990.9439288148
LCHA,NER,2030,3583.627155843845
LCHA,NER,2035,3807.7787772515335
LCHA,NER,2040,3922.892267227585
LCHA,NER,2045,4055.113782675475
LCHA,NER,2050,4248.903376083503
LCHA,NER,2060,4763.0039851977535
LCHA,NER,2070,5279.968799356596
LCHA,NER,2080,5167.994275483975
LCHA,NER,2090,4083.3541434147714
LCHA,NER,2100,3244.588453825789
NIGE,NER,2005,9589.041577202703
NIGE,NER,2010,10450.35933235079
NIGE,NER,2015,11709.94775713967
NIGE,NER,2020,11665.285445504283
NIGE,NER,2025,12263.987140887142
NIGE,NER,2030,12210.062331843059
NIGE,NER,2035,12310.211878820628
NIGE,NER,2040,12545.30578305465
NIGE,NER,2045,12887.153127572748
NIGE,NER,2050,13286.84561481981
NIGE,NER,2060,14161.821251388206
NIGE,NER,2070,14912.495834818748
NIGE,NER,2080,14687.494641656562
NIGE,NER,2090,12816.141839510432
NIGE,NER,2100,11401.920917901212
AFWC,NGA,2005,3082.673001243209
AFWC,NGA,2010,3414.158819348711
AFWC,NGA,2015,3082.995142813079
AFWC,NGA,2020,2980.3731577709623
AFWC,NGA,2025,2959.417046368516
AFWC,NGA,2030,2934.226732728376
AFWC,NGA,2035,2820.754023602661
AFWC,NGA,2040,2584.6878637850036
AFWC,NGA,2045,2276.7732022984696
AFWC,NGA,2050,1930.1965130550898
AFWC,NGA,2060,1306.3284745350115
AFWC,NGA,2070,832.9827157707839
AFWC,NGA,2080,535.4605580673059
AFWC,NGA,2090,342.09993093463873
AFWC,NGA,2100,243.66367473293306
GFGU,NGA,2005,1771.193040048544
GFGU,NGA,2010,1910.4360313093907
GFGU,NGA,2015,1955.2844353013184
GFGU,NGA,2020,1913.5193828823021
GFGU,NGA,2025,1911.1611873904808
GFGU,NGA,2030,1910.8120212504145
GFGU,NGA,2035,1854.655020740197
GFGU,NGA,2040,1704.004691922825
GFGU,NGA,2045,1494.6008538096794
GFGU,NGA,2050,1257.3685444217836
GFGU,NGA,2060,812.8512430123621
GFGU,NGA,2070,555.7134176201231
GFGU,NGA,2080,434.7372417026166
GFGU,NGA,2090,318.09185655964933
GFGU,NGA,2100,257.5373900265529
LCHA,NGA,2005,9400.913438329708
LCHA,NGA,2010,9055.305716537803
LCHA,NGA,2015,8439.767207906356
LCHA,NGA,2020,8136.610756726257
LCHA,NGA,2025,8045.32702614357
LCHA,NGA,2030,7796.583270606103
LCHA,NGA,2035,7232.810741610684
LCHA,NGA,2040,6608.816828243595
LCHA,NGA,2045,6083.329659650897
LCHA,NGA,2050,5630.672474489676
LCHA,NGA,2060,5128.794031108795
LCHA,NGA,2070,5122.638322192644
LCHA,NGA,2080,5033.931787726627
LCHA,NGA,2090,4722.813248290486
LCHA,NGA,2100,4573.263461382
NIGE,NGA,2005,24804.645616103244
NIGE,NGA,2010,25346.36904283106
NIGE,NGA,2015,26319.48155583829
NIGE,NGA,2020,25349.323595148584
NIGE,NGA,2025,24771.951547016703
NIGE,NGA,2030,23575.23927132369
NIGE,NGA,2035,21516.14716278769
NIGE,NGA,2040,18686.42789106822
NIGE,NGA,2045,15772.72698932522
NIGE,NGA,2050,13196.533839144782
NIGE,NGA,2060,9128.306212194264
NIGE,NGA,2070,6525.8346161782265
NIGE,NGA,2080,4978.899770673391
NIGE,NGA,2090,3853.8396377553245
NIGE,NGA,2100,3107.7768213239183
SCAM,NIC,2005,854.1259405596417
SCAM,NIC,2010,809.9527287762514
SCAM,NIC,2015,902.6745201596236
SCAM,NIC,2020,907.2584823191744
SCAM,NIC,2025,957.7988213665056
SCAM,NIC,2030,998.379945416487
SCAM,NIC,2035,1045.688500671105
SCAM,NIC,2040,1092.8463058543769
SCAM,NIC,2045,1140.3056639118067
SCAM,NIC,2050,1183.6197130007406
SCAM,NIC,2060,1256.320399206038
SCAM,NIC,2070,1348.320221590055
SCAM,NIC,2080,1441.828825561152
SCAM,NIC,2090,1574.6206072316286
SCAM,NIC,2100,1732.2877568474198
MAAS,NLD,2005,219.2067557153908
MAAS,NLD,2010,212.32257053718496
MAAS,NLD,2015,329.66777272685107
MAAS,NLD,2020,264.6664062676556
MAAS,NLD,2025,276.6741328954845
MAAS,NLD,2030,290.08618658517025
MAAS,NLD,2035,314.64849474114266
MAAS,NLD,2040,347.50966757677327
MAAS,NLD,2045,380.21756950905535
MAAS,NLD,2050,406.5365535133037
MAAS,NLD,2060,454.7185248684605
MAAS,NLD,2070,470.52353392309976
MAAS,NLD,2080,452.42501124069514
MAAS,NLD,2090,397.8711904527283
