basin,year,type,Value
AFG_AMDA,2100,PDRRF,70.67998831014872
AFG_AMDA,2100,WHTRF,1554.936204869378
AFG_AMDA,2100,GRORF,257.58877265026155
AFG_AMDA,2100,OSDRF,35.99664320352701
AFG_AMDA,2100,OTH_ARF,511.1769969180543
AFG_AMDA,2100,CLDEGS,1231.63568628384
AFG_AMDA,2100,NRFABD,50.977898341101
AFG_AMDA,2100,NRGABD,144.327179710939
AFG_AMDA,2100,DEF,2.549960795997603
AFG_AMDA,2100,DEG,99.90745101122089
AFG_AMDA,2100,NRFABDCUM,691.7232819285507
AFG_AMDA,2100,NRGABDCUM,2135.021895331956
AFG_CSEC,2005,FRS,41.42449949249448
AFG_CSEC,2005,GL,3018.934001019249
AFG_CSEC,2005,CL,535.2621409331961
AFG_CSEC,2005,CROP_FLW,774.50617114453
AFG_CSEC,2005,PAS,4008.736522021057
AFG_CSEC,2005,SL,56.23359436845422
AFG_CSEC,2005,OL,3.2507055592878585e-14
AFG_CSEC,2005,PRMFRS,41.42449949249448
AFG_CSEC,2005,MNGFRS,12.278498778642138
AFG_CSEC,2005,UMNFRS,29.14600071385234
AFG_CSEC,2005,NRMFRS,41.42449949249448
AFG_CSEC,2005,AGOFRS,21.776091920062537
AFG_CSEC,2005,PRMGL,2195.264481075505
AFG_CSEC,2005,SECGL,823.6695199437431
AFG_CSEC,2005,RAN,4008.736522021057
AFG_CSEC,2005,PDRIR,12.27293172764309
AFG_CSEC,2005,WHTIR,79.95686505150749
AFG_CSEC,2005,GROIR,50.26223739421313
AFG_CSEC,2005,OSDIR,3.687779430095449
AFG_CSEC,2005,OTH_AIR,11.350937183006167
AFG_CSEC,2005,PDRRF,2.2357499758277943
AFG_CSEC,2005,WHTRF,303.3361177082018
AFG_CSEC,2005,GRORF,32.599520423231674
AFG_CSEC,2005,OSDRF,3.011077736487611
AFG_CSEC,2005,OTH_ARF,35.31663075213216
AFG_CSEC,2005,CLDEGS,515.9536718179954
AFG_CSEC,2005,C_BIR,0.46410835556839336
AFG_CSEC,2005,C_BRF,0.7681851952812102
AFG_CSEC,2010,FRS,41.791443523746274
AFG_CSEC,2010,GL,3028.6977314780406
AFG_CSEC,2010,CL,547.6784179271078
AFG_CSEC,2010,CROP_FLW,751.711694565466
AFG_CSEC,2010,PAS,4008.983910247817
AFG_CSEC,2010,SL,56.23381134849714
AFG_CSEC,2010,OL,0.00018224030060179618
AFG_CSEC,2010,PRMFRS,41.42449949249448
AFG_CSEC,2010,SECFRS,0.366944031251789
AFG_CSEC,2010,MNGFRS,12.645442809893929
AFG_CSEC,2010,UMNFRS,29.14600071385234
AFG_CSEC,2010,NRMFRS,41.791443523746274
AFG_CSEC,2010,AGOFRS,21.77599255703362
AFG_CSEC,2010,PRMGL,2195.262240234437
AFG_CSEC,2010,SECGL,833.4354912436033
AFG_CSEC,2010,MNGPAS,0.35884545058945033
AFG_CSEC,2010,RAN,4008.6250647972274
AFG_CSEC,2010,PDRIR,12.272042841636749
AFG_CSEC,2010,WHTIR,79.956009633552
AFG_CSEC,2010,GROIR,49.85399590732548
AFG_CSEC,2010,OSDIR,3.687964447682933
AFG_CSEC,2010,OTH_AIR,11.350818075230723
AFG_CSEC,2010,PDRRF,8.105085101347475
AFG_CSEC,2010,WHTRF,308.9445317477568
AFG_CSEC,2010,GRORF,20.731528191543983
AFG_CSEC,2010,OSDRF,2.069425994651772
AFG_CSEC,2010,OTH_ARF,48.54435577768481
AFG_CSEC,2010,CLDEGS,531.1730075587014
AFG_CSEC,2010,NRFABD,0.366944031251789
AFG_CSEC,2010,NRGABD,23.897394426929075
AFG_CSEC,2010,DEG,14.133240653374441
AFG_CSEC,2010,NRFABDCUM,0.366944031251789
AFG_CSEC,2010,NRGABDCUM,23.896861704992585
